ægilopiné	adj.
ægilopinées	subst.
æolis	subst.
æpyornis	subst.
æsthésiomètre	subst.
æthéogame	adj.
æthéogamie	subst.
ætite	subst.
traceur	subst.
traceuse	subst.
trachéal	adj.
trachéate	subst.
trachée	subst.
trachée-artère	subst.
trachéen	adj.
trachéide	subst.
trachéifère	subst.
trachéite	subst.
trachelhématome	subst.
trachélides	subst.
trachélo-costien	adj.
trachélo-mastoïdien	adj.
trachélo-occipitien	adj.
trachélo-scapulien	adj.
trachélobranches	subst.
trachéloplastie	subst.
trachélorraphie	subst.
trachéo-branchie	subst.
trachéo-bronchique	adj.
trachéo-bronchite	subst.
trachéo-laryngotomie	subst.
trachéo-oesophagien	adj.
trachéobronchique	adj.
trachéobronchite	subst.
trachéocèle	subst.
trachéole	subst.
trachéomalacie	subst.
trachéome	subst.
trachéomycose	subst.
trachéophonie	subst.
trachéophyte	subst.
trachéoplastie	subst.
trachéorragie	subst.
trachéorraphie	subst.
trachéoscope	subst.
trachéoscopie	subst.
trachéosténose	subst.
trachéostomie	subst.
trachéotome	subst.
trachéotomie	subst.
trachéotomiser	verbe
trachome	subst.
trachyandésite	subst.
trachydolérite	subst.
trachyméduse	subst.
trachyptère	subst.
trachyte	subst.
trachytique	adj.
traçoir	subst.
tract	subst.
tractable	adj.
tractation	subst.
tracté	adj.
tracter	verbe
tracteur	adj.
tracteur	subst.
tractif	adj.
traction	subst.
tractionnaire	subst.
tractionner	verbe
tractochargeur	subst.
tractogrue	subst.
tractoire	adj.
tractopelle	subst.
tractoporteur	subst.
tractoriste	subst.
tractus	subst.
trade-union	subst.
trade-unionisme	subst.
trade-unioniste	adj.
tradescantia	subst.
traditeur	subst.
tradition	subst.
traditionalisme	subst.
traditionaliste	adj.
traditionaliste	subst.
traditionnaire	adj.
traditionnaire	subst.
traditionnel	adj.
traditionnellement	adv.
traducteur	subst.
traductibilité	subst.
traductible	adj.
traduction	subst.
traductionnel	adj.
traductionyme	subst.
traductrice	subst.
traduire	verbe
traduisible	adj.
trafalgar	subst.
trafic	subst.
traficoter	verbe
traficoteur	subst.
traficoteuse	subst.
trafiquable	adj.
trafiquant	subst.
trafiquante	subst.
trafique	subst.
trafiquer	verbe
trafiqueur	subst.
trafiqueuse	subst.
trafiquotter	verbe
tragédie	subst.
tragédien	subst.
tragédienne	subst.
tragélaphe	subst.
tragi-comedie	subst.
tragi-comédie	subst.
tragi-comique	adj.
tragien	adj.
tragique	adj.
tragiquement	adv.
tragopan	subst.
tragus	subst.
trahir	verbe
trahison	subst.
traille	subst.
train	subst.
traînage	subst.
traînaillement	subst.
traînailler	verbe
traînant	adj.
traînard	adj.
traînard	subst.
traînarde	subst.
traînardement	adv.
traînasse	subst.
traînassement	subst.
traînasser	verbe
traînasserie	subst.
traîne	subst.
traîne-buisson	subst.
traîne-guenille	subst.
traîne-malheur	subst.
traîne-misère	subst.
traîne-savate	subst.
traîne-savates	subst.
traîneau	subst.
traînée	subst.
traînement	subst.
traîner	verbe
traînerie	subst.
traîneur	subst.
traîneuse	subst.
traîneux	subst.
traînier	subst.
training	subst.
traînotter	verbe
traire	verbe
trait	subst.
traitable	adj.
traitant	adj.
traitant	subst.
traite	subst.
traité	subst.
traitement	subst.
traiter	verbe
traiteur	subst.
traiteur-rôtisseur	subst.
traître	subst.
traîtrement	adv.
traîtresse	subst.
traîtreusement	adv.
traîtreux	adj.
traîtrillon	subst.
traîtrise	subst.
trajectographie	subst.
trajectoire	subst.
trajet	subst.
trâlée	subst.
tram	subst.
tramail	subst.
trame	subst.
tramer	verbe
trameur	subst.
trameuse	subst.
traminer	subst.
tramontane	subst.
tramp	subst.
trampolin	subst.
trampoline	subst.
tramway	subst.
tramway-mouche	subst.
tranchage	subst.
tranchant	adj.
tranchant	subst.
tranché	adj.
tranche	subst.
tranche-caillé	subst.
tranche-tête	subst.
tranche-tout	subst.
tranchée	subst.
tranchée-abri	subst.
tranchefile	subst.
tranchefiler	verbe
tranchelard	subst.
trancher	verbe
tranchet	subst.
trancheur	adj.
trancheur	subst.
trancheuse	subst.
tranchoir	subst.
tranquille	adj.
tranquillement	adv.
tranquillisant	adj.
tranquillisant	subst.
tranquillisation	subst.
tranquilliser	verbe
tranquillité	subst.
transaction	subst.
transactionnel	adj.
transalpin	adj.
transapparaître	verbe
transat	subst.
transatlantique	adj.
transatlantique	subst.
transbahutement	subst.
transbahuter	verbe
transbordement	subst.
transborder	verbe
transbordeur	adj.
transbordeur	subst.
transcatégorisation	subst.
transcendance	subst.
transcendant	adj.
transcendantal	adj.
transcendantalement	adv.
transcendantalisme	subst.
transcendantaliste	adj.
transcendantaliste	subst.
transcender	verbe
transcodage	subst.
transcoder	verbe
transcodeur	subst.
transcontinental	adj.
transcripteur	subst.
transcription	subst.
transcrire	verbe
transculturation	subst.
transdisciplinarité	subst.
transducteur	adj.
transduction	subst.
transduire	verbe
transe	subst.
transept	subst.
transférable	adj.
transfèrement	subst.
transférer	verbe
transfert	subst.
transfigurateur	adj.
transfiguratif	adj.
transfiguration	subst.
transfigurer	verbe
transfiler	verbe
transfini	adj.
transfini	subst.
transfixion	subst.
transfluence	subst.
transformable	adj.
transformateur	adj.
transformateur	subst.
transformation	subst.
transformationnel	adj.
transformationniste	adj.
transformationniste	subst.
transformé	adj.
transformée	subst.
transformer	verbe
transformisme	subst.
transformiste	adj.
transformiste	subst.
transfuge	subst.
transfusé	adj.
transfusé	subst.
transfusée	subst.
transfuser	verbe
transfuseur	subst.
transfuseuse	subst.
transfusion	subst.
transfusionnel	adj.
transgénèse	subst.
transgénose	subst.
transgresser	verbe
transgresseur	subst.
transgressif	adj.
transgression	subst.
transhumance	subst.
transhumant	adj.
transhumer	verbe
transi	adj
transi	adj.
transiger	verbe
transillumination	subst.
transindividualité	subst.
transinuer	verbe
transir	verbe
transistor	subst.
transistorisation	subst.
transistoriser	verbe
transit	subst.
transitaire	adj.
transitaire	subst.
transiter	verbe
transitif	adj.
transition	subst.
transitionnel	adj.
transitivisme	subst.
transitivité	subst.
transitoire	adj.
transitoirement	adv.
translaté	adj.
translaté	subst.
translatée	subst.
translater	verbe
translateur	subst.
translatif	adj.
translatif	subst.
translation	subst.
translitération	subst.
translitérer	verbe
translittération	subst.
translittérer	verbe
translocation	subst.
translucide	adj.
translucidité	subst.
translucidus	subst.
transmetteur	subst.
transmettre	verbe
transmigrateur	adj.
transmigration	subst.
transmigrer	verbe
transmissibilité	subst.
transmissible	adj.
transmission	subst.
transmissivité	subst.
transmodulation	subst.
transmuable	adj.
transmuer	verbe
transmutabilité	subst.
transmutable	adj.
transmutateur	adj.
transmutateur	subst.
transmutation	subst.
transmutatrice	subst.
transmuter	verbe
transocéanien	adj.
transocéanique	adj.
transparaître	verbe
transparemment	loc.
transparence	subst.
transparent	adj.
transparent	subst.
transpénétrer	verbe
transpercé	adj.
transpercer	verbe
transpirable	adj.
transpiration	subst.
transpiratoire	adj.
transpirer	verbe
transplant	subst.
transplantable	adj.
transplantation	subst.
transplanté	subst.
transplantée	subst.
transplanter	verbe
transplantoir	subst.
transport	subst.
transportable	adj.
transportation	subst.
transporté	adj.
transporter	verbe
transporteur	adj.
transporteur	subst.
transposable	adj.
transposer	verbe
transpositeur	subst.
transpositif	adj.
transposition	subst.
transpositrice	subst.
transsaharien	adj.
transsaharien	subst.
transsexualisme	subst.
transsexualité	subst.
transsexuel	adj.
transsibérien	adj.
transsibérien	subst.
transsonnance	subst.
transsubjectivité	subst.
transsubstantiation	subst.
transsubstantier	verbe
transsubstantifier	verbe
transsudation	subst.
transsuder	verbe
transvaluation	subst.
transvasement	subst.
transvaser	verbe
transverbération	subst.
transverbérer	verbe
transversaire	adj.
transversal	adj.
transversalement	adv.
transversalité	subst.
transverse	adj.
transversion	subst.
transvidage	subst.
transvider	verbe
trapèze	subst.
trapéziste	subst.
trapézite	subst.
trapézo-métacarpien	adj.
trapézoèdre	subst.
trapézoïdal	adj.
trapézoïde	adj.
trapézoïde	subst.
trapp	subst.
trappe	subst.
trappéen	adj.
trappeur	subst.
trappillon	subst.
trappiste	subst.
trappistine	subst.
trapu	adj.
traque	subst.
traquenard	subst.
traquenarder	verbe
traquenardeur	adj.
traquer	verbe
traquet	subst.
traqueur	adj.
traqueur	subst.
traqueuse	subst.
trass	subst.
trattoria	subst.
trauma	subst.
traumatique	adj.
traumatiser	verbe
traumatisme	subst.
traumatologie	subst.
traumatologique	adj.
traumatologiste	subst.
traumatologue	subst.
travail	subst.
travaillé	adj.
travailler	verbe
travailleur	adj.
travailleur	subst.
travailleuse	subst.
travaillisme	subst.
travailliste	adj.
travailliste	subst.
travailloter	verbe
travails	subst.
travée	subst.
travelage	subst.
travellers'chèque	subst.
travelling	subst.
travelo	subst.
travers	subst.
travers-banc	subst.
traversable	adj.
traverse	subst.
traversée	subst.
traverser	verbe
traversier	adj.
traversin	subst.
traversine	subst.
travertin	subst.
travesti	adj.
travesti	subst.
travestir	verbe
travestissement	subst.
travestisseur	adj.
travestisseur	subst.
travestisseuse	subst.
traviole	subst.
travois	subst.
trayeur	subst.
trayeuse	subst.
trayon	subst.
trébuchage	subst.
trébuchant	adj.
trébuchement	subst.
trébucher	verbe
trébuchet	subst.
trecentesque	adj.
trécentiste	subst.
tréfilage	subst.
tréfiler	verbe
tréfilerie	subst.
tréfileur	subst.
tréfileuse	subst.
tréflé	adj.
trèfle	subst.
tréflière	subst.
tréfoncier	adj.
tréfoncier	subst.
tréfoncière	subst.
tréfonds	subst.
tréhalose	subst.
treillage	subst.
treillager	verbe
treillageur	subst.
treillard	subst.
treille	subst.
treillis	subst.
treillon	subst.
treizain	subst.
treizaine	subst. fém.
treize	adj. num.
treizième	adj.
treizième	adj. num.
treizième	subst.
treizièmement	adv.
treiziste	adj.
treiziste	subst.
trélingage	subst.
tréma	subst.
trémail	subst.
trématage	subst.
trémater	verbe
trématodes	subst.
tremblaie	subst.
tremblant	adj.
tremblant	subst.
tremblante	subst.
tremblé	adj.
tremble	subst.
tremblement	subst.
trembler	verbe
trembleur	adj.
trembleur	subst.
trembleuse	subst.
tremblotant	adj.
tremblote	subst.
tremblotement	subst.
trembloter	verbe
trembloteur	adj.
trembloteur	subst.
trembloteuse	subst.
tremblotis	subst.
tremblotte	subst.
trémelle	subst.
trémie	subst.
trémière	adj.
trémolant	adj.
trémolite	subst.
tremolo	subst.
trémolo	subst.
trémoussement	subst.
trémousser	verbe
trémoussoir	subst.
trempabilité	subst.
trempage	subst.
trempé	adj.
trempe	subst.
trempé	subst.
trempée	subst.
tremper	verbe
tremperie	subst.
trempette	subst.
trempeur	subst.
tremplin	subst.
trempoter	verbe
trémulation	subst.
trémulement	subst.
trémuler	verbe
trenail	subst.
trend	subst.
trénis	subst.
trentain	subst.
trentaine	subst.
trentaine	subst. fém.
trente	adj. num.
trente-deuxain	subst.
trente-et-quarante	subst.
trente-et-un	num.
trente-quatre	adj. num.
trente-sixième	adj.
trente-sous	subst.
trentenaire	adj.
trentenaire	subst.
trentième	adj.
trentième	adj. et subst.
trentième	subst.
trépan	subst.
trépanation	subst.
trépané	adj.
trépané	subst.
trépanée	subst.
trépaner	verbe
trépang	subst.
trépas	subst.
trépassé	subst.
trépassée	subst.
trépassement	subst.
trépasser	verbe
tréphocyte	subst.
tréphone	subst.
tréphones	subst.
trépidant	adj.
trépidation	subst.
trépider	verbe
trépidomètre	subst.
trépied	subst.
trépignement	subst.
trépigner	verbe
trépigneuse	subst.
trépointe	subst.
tréponème	subst.
très	adv.
trésaillé	adj.
trésaille	subst.
trésaillure	subst.
trescheur	subst.
trésor	subst.
trésorerie	subst.
trésorier	subst.
trésorier-payeur	subst.
trésorière	subst.
tressage	subst.
tressaillant	adj.
tressaillement	subst.
tressaillir	verbe
tressaillure	subst.
tressautement	subst.
tressauter	verbe
tressé	adj.
tresse	subst.
tresser	verbe
tresseur	subst.
tresseuse	subst.
tressoir	subst.
tréteau	subst.
treuil	subst.
treuiller	verbe
trêve	subst.
trévire	subst.
trévirer	verbe
tri	subst.
triade	subst.
triadique	adj.
triage	subst.
triaire	subst.
trial	subst.
triammonique	adj.
triangle	subst.
triangulaire	adj.
triangulairement	adv.
triangularité	subst.
triangulation	subst.
trianguler	verbe
trianon	subst.
triarticulé	adj.
trias	subst.
triasique	adj.
triatomique	adj.
tribade	subst.
tribaderie	subst.
tribadie	subst.
tribadisme	subst.
tribal	adj.
tribalisme	subst.
triballe	subst.
tribart	subst.
tribasique	adj.
tribo-électricité	subst.
tribo-électrique	adj.
triboélectricité	subst.
triboélectrique	adj.
tribologie	subst.
triboluminescence	subst.
triboluminescent	adj.
tribomètre	subst.
tribométrique	adj.
tribord	subst.
tribordais	subst.
tribotaxie	subst.
tribouil	subst.
tribouiller	verbe
triboulet	subst.
tribraque	subst.
tribromobenzène	subst.
tribu	subst.
tribulation	subst.
tribun	subst.
tribunal	subst.
tribunat	subst.
tribune	subst.
tribunitien	adj.
tribut	subst.
tributaire	adj.
tricalcique	adj.
tricard	subst.
tricarde	subst.
tricennal	adj.
tricéphale	adj.
triceps	subst.
triceratops	subst.
tricératops	subst.
triche	subst.
tricher	verbe
tricherie	subst.
tricheur	adj.
tricheur	subst.
tricheuse	subst.
trichiasis	subst.
trichinal	adj.
trichiné	adj.
trichine	subst.
trichineux	adj.
trichinose	subst.
trichite	subst.
trichiure	subst.
trichloréthylène	subst.
trichlorure	subst.
trichobézoard	subst.
trichocardie	subst.
trichocéphale	subst.
trichoclasie	subst.
trichoclastie	subst.
trichodesmie	subst.
trichodesmium	subst.
trichoépithéliome	subst.
trichogène	subst.
trichoglossie	subst.
trichogramme	subst.
trichomanie	subst.
trichopathie	subst.
trichophobie	subst.
trichophytie	subst.
trichoptères	subst.
trichorhexis	subst.
trichorrhexie	subst.
trichotillomanie	subst.
trichotomie	subst.
trichotomique	adj.
trichrome	adj.
trichromie	subst.
trichromique	adj.
trick	subst.
triclinique	adj.
triclinium	subst.
tricoises	subst.
tricolore	adj.
tricolore	subst.
triconque	adj.
tricorne	subst.
tricot	subst.
tricotage	subst.
tricoter	verbe
tricotets	subst.
tricoteur	subst.
tricoteuse	subst.
tricourant	adj.
tricrote	adj.
trictrac	subst.
tricuspide	adj.
tricuspidien	adj.
tricycle	adj.
tricycle	subst.
tridacne	subst.
tridactyle	adj.
tride	adj.
trident	subst.
tridenté	adj.
tridermique	adj.
tridi	subst.
tridimensionnalité	subst.
tridimensionnel	adj.
tridimensionnellement	adv.
triduum	subst.
trièdre	adj.
trièdre	subst.
triennal	adj.
triennat	subst.
trier	verbe
triérarchie	subst.
triérarque	subst.
trière	subst.
trieur	subst.
trieuse	subst.
trifide	adj.
triflèche	adj.
trifolié	adj.
trifoliolé	adj.
triforium	subst.
trifouillage	subst.
trifouiller	verbe
trifouilleur	adj.
trifouilleur	subst.
trifouilleuse	subst.
trifouillis	subst.
trifourchu	adj.
trifurcation	subst.
trifurquer	verbe
trigaud	adj.
trigaudage	subst.
trigauder	verbe
trigauderie	subst.
trigémellaire	adj.
trigéminé	adj.
trigle	subst.
triglidés	subst.
triglycéride	subst.
triglyphe	subst.
trigonal	adj.
trigone	adj.
trigone	subst.
trigonelle	subst.
trigonocéphale	subst.
trigonocéphalie	subst.
trigonométrie	subst.
trigonométrique	adj.
trigonométriquement	adv.
trigramme	subst.
trigynie	subst.
triiodure	subst.
trijumeau	adj.
trijumeau	subst.
trilatéral	adj.
trilatération	subst.
trilatère	subst.
trilingue	adj.
trille	subst.
triller	verbe
trillion	subst.
trillionnaire	adj.
trilobé	adj.
trilobe	subst.
trilobite	subst.
trilobites	subst.
triloculaire	adj.
trilogie	subst.
trilogique	adj.
trimaran	subst.
trimard	subst.
trimarder	verbe
trimardeur	subst.
trimardeuse	subst.
trimbalage	subst.
trimbalement	subst.
trimbaler	verbe
trimbaleur	subst.
trimbaleuse	subst.
trimballage	subst.
trimballée	subst.
trimballement	subst.
trimballeur	subst.
trimballeuse	subst.
trimer	verbe
trimère	adj.
trimère	subst.
trimestre	subst.
trimestriel	adj.
trimestriellement	adv.
triméthylamine	subst.
trimètre	subst.
trimmer	subst.
trimorphe	adj.
trimorphisme	subst.
trimoteur	subst.
trin	adj.
trinaire	adj.
tringlage	subst.
tringle	subst.
tringler	verbe
tringlette	subst.
tringlot	subst.
trinitaire	adj.
trinitaire	subst.
trinité	subst.
trinitré	adj.
trinitrobenzène	subst.
trinitrophénol	subst.
trinitrotoluène	subst.
trinôme	subst.
trinquart	subst.
trinquer	verbe
trinquerie	subst.
trinquet	subst.
trinquette	subst.
trinqueur	subst.
trinqueuse	subst.
trinucléé	adj.
trio	subst.
triode	adj.
triode	subst.
triolet	subst.
triomphal	adj.
triomphalement	adv.
triomphalisme	subst.
triomphamment	adv.
triomphant	adj.
triomphateur	adj.
triomphateur	subst.
triomphe	subst.
triompher	verbe
triongulin	subst.
trip	subst.
tripaille	subst.
tripale	adj.
tripang	subst.
triparti	adj.
tripartisme	subst.
tripartite	adj.
tripartition	subst.
tripatouillage	subst.
tripatouiller	verbe
tripatouilleur	subst.
tripatouilleuse	subst.
tripe	subst.
tripée	subst.
tripenné	adj.
triperie	subst.
triphasé	adj.
triphénol	subst.
triphtongue	subst.
tripier	subst.
tripière	subst.
triple	adj.
triplé	adj.
triple	subst.
triplement	adv.
triplement	subst.
tripler	verbe
triplet	subst.
triplette	subst.
triplex	subst.
triplicata	subst.
triplicité	subst.
tripliquer	verbe
triploïde	adj.
triploïde	subst.
triploïdie	subst.
triplure	subst.
tripode	adj.
tripodie	subst.
tripoli	subst.
tripolir	verbe
tripoliser	verbe
tripolisser	verbe
triporteur	subst.
tripot	subst.
tripotage	subst.
tripotée	subst.
tripoter	verbe
tripoterie	subst.
tripoteur	subst.
tripoteuse	subst.
tripotière	subst.
tripotis	subst.
tripous	subst.
tripoux	subst.
trippe-madame	subst.
triprocesseur	subst.
triptyque	subst.
trique	subst.
trique-madame	subst.
triqueballe	subst.
triquer	verbe
triquet	subst.
triquètre	subst.
triréacteur	subst.
trirème	subst.
trisagion	subst.
trisaïeul	subst.
trisaïeule	subst.
trisannuel	adj.
triscèle	subst.
trisecteur	adj.
trisection	subst.
trisilicique	adj.
trismégiste	adj.
trismus	subst.
trisodique	adj.
trisomie	subst.
trisomique	adj.
trissotin	subst.
trissyllabique	adj.
triste	adj.
tristéarine	subst.
tristement	adv.
tristesse	subst.
tristolet	adj.
tristouillet	adj.
tristoune	adj.
tristounet	adj.
trisubstitué	adj.
trisulfure	subst.
trisyllabique	adj.
tritérium	subst.
triterpène	subst.
tritium	subst.
tritome	subst.
triton	subst.
tritonie	subst.
tritonienne	subst.
tritonner	verbe
triturage	subst.
triturateur	subst.
trituration	subst.
triture	subst.
triturer	verbe
tritureuse	subst.
triumvir	subst.
triumviral	adj.
triumvirat	subst.
trivalence	subst.
trivalent	adj.
trivalve	adj.
trivial	adj.
trivialement	adv.
trivialisation	subst.
trivialiser	verbe
trivialité	subst.
trivium	subst.
troc	subst.
trocart	subst.
trochaïque	adj.
trochanter	subst.
trochantérien	adj.
troche	subst.
trochée	subst.
trochet	subst.
trochile	subst.
trochilidés	subst.
trochisque	subst.
trochiter	subst.
trochléaire	adj.
trochlée	subst.
trochléen	adj.
trochure	subst.
troène	subst.
troglobie	adj.
troglodyte	subst.
troglodytique	adj.
troglodytisme	subst.
trogloxène	adj.
trognard	subst.
trogne	subst.
trognon	subst.
trognonner	verbe
troïka	subst.
trois	adj. num.
trois-huit	subst.
trois-mâts	subst.
trois-quarts	subst.
troisième	adj.
troisième	adj. num.
troisièmement	adv.
trôle	subst.
trôler	verbe
trôlerie	subst.
trôleur	subst.
troll	subst.
trolle	subst.
trolley	subst.
trolleybus	subst.
trombe	subst.
trombidion	subst.
trombidiose	subst.
trombine	subst.
tromblon	subst.
trombone	subst.
trommel	subst.
trompe	subst.
trompe-coeur	subst.
tromper	verbe
tromperie	subst.
trompeter	verbe
trompeteur	subst.
trompette	subst.
trompette-major	subst.
trompettiste	subst.
trompeur	adj.
trompeusement	adv.
trompillon	subst.
tronc	subst.
troncation	subst.
troncature	subst.
tronche	subst.
tronchet	subst.
tronçon	subst.
tronconique	adj.
tronçonnage	subst.
tronçonner	verbe
tronçonneuse	subst.
tronculaire	adj.
trône	subst.
trôner	verbe
tronqué	adj.
tronquer	verbe
tronquette	subst.
trop	adv.
trop-perçu	subst.
trope	subst.
trophée	subst.
trophique	adj.
trophoblastique	adj.
trophoedème	subst.
trophonévrose	subst.
tropical	adj.
tropicaliser	verbe
tropique	adj.
tropique	subst.
tropiquement	adv.
tropisme	subst.
tropistique	adj.
tropocollagène	subst.
tropoélastine	subst.
tropologie	subst.
tropologique	adj.
tropomètre	subst.
troponomique	adj.
tropopause	subst.
troposphère	subst.
troposphérique	adj.
tropostéréoscope	subst.
tropotaxie	subst.
troque	subst.
troquer	verbe
troquet	subst.
troqueur	subst.
troqueuse	subst.
trot	subst.
trotskisme	subst.
trotskiste	adj.
trotskiste	subst.
trotskysme	subst.
trotskyste	adj.
trotskyste	subst.
trotte	subst.
trottement	subst.
trotter	verbe
trotteur	subst.
trotteuse	subst.
trottin	subst.
trottinement	subst.
trottiner	verbe
trottinette	subst.
trottis	subst.
trottoir	subst.
trou	subst.
trou-madame	subst.
trou-trou	subst.
troubade	subst.
troubadour	subst.
troubadouresque	adj.
troubadourisme	subst.
troublant	adj.
trouble	adj.
troublé	adj.
trouble	subst.
troubleau	subst.
troubler	verbe
troubleur	adj.
troubleur	subst.
troubleuse	subst.
troué	adj.
trouée	subst.
trouer	verbe
troueur	subst.
troueuse	subst.
troufignon	subst.
troufion	subst.
trouillard	adj.
trouillard	adj. et subst.
trouillard	subst.
trouillarde	subst.
trouille	subst.
trouillomètre	subst.
troupaille	subst.
troupe	subst.
troupeau	subst.
troupiale	subst.
troupier	adj.
troupier	subst.
troussage	subst.
troussé	adj.
trousse	subst.
trousse-cotte	subst.
trousse-galant	subst.
trousse-jupe	subst.
trousse-jupes	subst.
trousse-jupon	subst.
trousse-jupons	subst.
trousse-pet	subst.
trousse-pète	subst.
trousse-pied	subst.
trousse-queue	subst.
trousseau	subst.
troussement	subst.
troussequin	subst.
trousser	verbe
trousseur	subst.
troussière	subst.
troussis	subst.
trouvaille	subst.
trouvailleur	subst.
trouvé	adj.
trouver	verbe
trouvère	subst.
trouveur	subst.
trouveuse	subst.
troyen	adj.
troyen	subst.
truand	subst.
truandaille	subst.
truande	subst.
truander	verbe
truble	subst.
trublion	subst.
truc	subst.
trucage	subst.
truchement	subst.
trucidement	subst.
trucider	verbe
trucideur	subst.
truck	subst.
trucmuche	subst.
truculence	subst.
truculent	adj.
truculer	verbe
trudgeon	subst.
truellage	subst.
truelle	subst.
truellée	subst.
trueller	verbe
truellisation	subst.
truffage	subst.
truffau	subst.
truffé	adj.
truffe	subst.
truffeau	subst.
truffer	verbe
trufferie	subst.
truffette	subst.
truffeur	subst.
truffeuse	subst.
trufficulteur	subst.
trufficultrice	subst.
trufficulture	subst.
truffivore	adj.
truie	subst.
truisme	subst.
truisse	subst.
truité	adj.
truite	subst.
truitelle	subst.
truiticole	adj.
truiticulteur	subst.
truiticultrice	subst.
truiticulture	subst.
trumeau	subst.
truncicole	adj.
truquage	subst.
truquement	subst.
truquer	verbe
truquerie	subst.
truqueur	subst.
truqueuse	subst.
truquiste	subst.
trusquin	subst.
trusquiner	verbe
trust	subst.
trustard	subst.
truste	subst.
truster	verbe
trusteur	subst.
trutticole	adj.
trutticulteur	subst.
trutticultrice	subst.
trutticulture	subst.
trypanobleu	subst.
trypanorouge	subst.
trypanosome	subst.
trypanosomiase	subst.
trypanosomose	subst.
trypsine	subst.
trypsinogène	subst.
tryptophane	subst.
tsar	subst.
tsarévitch	subst.
tsarine	subst.
tsarisme	subst.
tsariste	adj.
tsé-tsé	subst.
tsitsit	subst.
tsitsith	subst.
tsuga	subst.
tsuica	subst.
tsunami	subst.
tu	pron. pers.
tu	subst. masc.
tuable	adj.
tuage	subst.
tuant	adj.
tub	subst.
tuba	subst.
tubage	subst.
tubaire	adj.
tubard	adj.
tubard	subst.
tubarde	subst.
tube	subst.
tube-ventouse	subst.
tuber	verbe
tubéracé	adj.
tubéracée	subst.
tuberculé	adj.
tubercule	subst.
tuberculeuse	subst.
tuberculeux	adj.
tuberculeux	subst.
tuberculide	subst.
tuberculifère	adj.
tuberculiforme	adj.
tuberculination	subst.
tuberculine	subst.
tuberculiner	verbe
tuberculinique	adj.
tuberculiniser	verbe
tuberculisable	adj.
tuberculisation	subst.
tuberculiser	verbe
tuberculome	subst.
tuberculose	subst.
tuberculostatique	adj.
tuberculostéarique	adj.
tubéreuse	subst.
tubéreux	adj.
tubériforme	adj.
tubérisation	subst.
tubérisé	adj.
tubérivore	adj.
tubérosité	subst.
tubicole	adj.
tubifère	adj.
tubifex	subst.
tubiforme	adj.
tubipore	subst.
tubiste	subst.
tubitèles	subst.
tubo-ovarien	adj.
tubocurarine	subst.
tubotympanite	subst.
tubulaire	adj.
tubulé	adj.
tubuleux	adj.
tubulidentés	subst.
tubulifère	adj.
tubulifères	subst.
tubuliflore	adj.
tubuliforme	adj.
tubulonéphrite	subst.
tubulopathie	subst.
tubulure	subst.
tudesque	adj.
tudieu	interj.
tué	adj.
tué	subst.
tue-mouche	adj.
tue-mouches	adj.
tue-tête	loc.
tuée	subst.
tuer	verbe
tuerie	subst.
tueur	subst.
tueuse	subst.
tuf	subst.
tufau	subst.
tufeux	adj.
tuffeau	subst.
tuffier	adj.
tufier	adj.
tuie	subst.
tuilage	subst.
tuilé	adj.
tuile	subst.
tuileau	subst.
tuiler	verbe
tuilerie	subst.
tuilette	subst.
tuileur	subst.
tuilier	adj.
tuilier	subst.
tularémie	subst.
tulipe	subst.
tulipier	subst.
tulipiste	subst.
tulipomanie	subst.
tulle	subst.
tullerie	subst.
tullier	subst.
tulliste	adj.
tulliste	subst.
tuméfaction	subst.
tuméfié	adj.
tuméfier	verbe
tumescence	subst.
tumescent	adj.
tumeur	subst.
tumoral	adj.
tumorectomie	subst.
tumulaire	adj.
tumulte	subst.
tumultuaire	adj.
tumultuairement	adv.
tumultuer	verbe
tumultueusement	adv.
tumultueux	adj.
tumulus	subst.
tunage	subst.
tune	subst.
tuner	subst.
tungar	subst.
tungstate	subst.
tungstène	subst.
tungstique	adj.
tungstite	subst.
tunicelle	subst.
tuniciers	subst.
tunicine	subst.
tuniqué	adj.
tunique	subst.
tunisien	adj.
tunisien	subst.
tunisienne	subst.
tunisification	subst.
tunisifier	verbe
tunisois	adj.
tunisoise	subst.
tunnel	subst.
tunnelier	subst.
tunnellisation	subst.
tupaïa	subst.
tupaie	subst.
tupi	adj.
tupi-guarani	subst.
tupinambis	subst.
tuque	subst.
turban	subst.
turbané	adj.
turbe	subst.
turbé	subst.
turbeh	subst.
turbellariés	subst.
turbicole	adj.
turbide	adj.
turbidimétrie	subst.
turbidité	subst.
turbin	subst.
turbinage	subst.
turbiné	adj.
turbine	subst.
turbiner	verbe
turbineur	adj.
turbineuse	subst.
turbith	subst.
turbo	subst.
turbo-alternateur	subst.
turbo-générateur	subst.
turbo-génératrice	subst.
turbo-prof	subst.
turbo-ventilateur	subst.
turbobroyeur	subst.
turbocombustible	subst.
turbocompresseur	subst.
turbodiesel	subst.
turbofiltre	subst.
turboforage	subst.
turbogénérateur	subst.
turbogénératrice	subst.
turbomachine	subst.
turbomoteur	subst.
turbopause	subst.
turbopompe	subst.
turbopropulseur	subst.
turboréacteur	subst.
turbosoufflante	subst.
turbostatoréacteur	subst.
turbosurpresseur	subst.
turbot	subst.
turbotière	subst.
turbotin	subst.
turbotrain	subst.
turboventilateur	subst.
turbulence	subst.
turbulent	adj.
turbuler	verbe
